Term	Level	Manual_Annots	Electronic_Annots	Total_Annots	Is_obsolete	Primary_ID
GO:0008150	0	155263	321029	476292	False	GO:0008150
GO:0000004	0	0	0	0	False	GO:0008150
GO:0007582	0	0	0	0	False	GO:0008150
GO:0044699	0	0	0	0	False	GO:0008150
GO:0009987	1	104167	291409	395576	False	GO:0009987
GO:0008152	1	64490	268220	332710	False	GO:0008152
GO:0065007	1	58170	37829	95999	False	GO:0065007
GO:0050896	1	29545	30672	60217	False	GO:0050896
GO:0051179	1	23773	21140	44913	False	GO:0051179
GO:0032502	1	21422	7598	29020	False	GO:0032502
GO:0032501	1	12195	3998	16193	False	GO:0032501
GO:0022414	1	7920	4375	12295	False	GO:0022414
GO:0044419	1	6842	10957	17799	False	GO:0044419
GO:0002376	1	5206	2903	8109	False	GO:0002376
GO:0040011	1	4669	2103	6772	False	GO:0040011
GO:0022610	1	2729	2856	5585	False	GO:0022610
GO:0007610	1	2282	726	3008	False	GO:0007610
GO:0023052	1	2091	806	2897	False	GO:0023052
GO:0040007	1	1874	378	2252	False	GO:0040007
GO:0016032	1	1384	6491	7875	False	GO:0016032
GO:0048511	1	986	635	1621	False	GO:0048511
GO:0051704	1	740	3361	4101	False	GO:0051704
GO:0051703	1	665	40	705	False	GO:0051703
GO:0098754	1	530	277	807	False	GO:0098754
GO:0000003	1	449	352	801	False	GO:0000003
GO:0110148	1	236	200	436	False	GO:0110148
GO:0043473	1	177	29	206	False	GO:0043473
GO:0019740	1	70	351	421	False	GO:0019740
GO:0015976	1	32	36	68	False	GO:0015976
GO:0009758	1	15	18	33	False	GO:0009758
GO:0006791	1	9	0	9	False	GO:0006791
GO:1905413	1	2	0	2	False	GO:1905413
GO:0019952	1	0	0	0	False	GO:0000003
GO:0050876	1	0	0	0	False	GO:0000003
GO:0006794	1	0	0	0	False	GO:0006794
GO:0023032	1	0	0	0	False	GO:0007610
GO:0044708	1	0	0	0	False	GO:0007610
GO:0044709	1	0	0	0	False	GO:0007610
GO:0044236	1	0	0	0	False	GO:0008152
GO:0044710	1	0	0	0	False	GO:0008152
GO:0007587	1	0	0	0	False	GO:0009758
GO:0008151	1	0	0	0	False	GO:0009987
GO:0044763	1	0	0	0	False	GO:0009987
GO:0050875	1	0	0	0	False	GO:0009987
GO:0015978	1	0	0	0	False	GO:0015976
GO:0022415	1	0	0	0	False	GO:0016032
GO:0044848	1	0	0	0	False	GO:0044848
GO:0044702	1	0	0	0	False	GO:0022414
GO:0023046	1	0	0	0	False	GO:0023052
GO:0044700	1	0	0	0	False	GO:0023052
GO:0044707	1	0	0	0	False	GO:0032501
GO:0050874	1	0	0	0	False	GO:0032501
GO:0044767	1	0	0	0	False	GO:0032502
GO:0048590	1	0	0	0	False	GO:0040007
GO:0051869	1	0	0	0	False	GO:0050896
GO:1902578	1	0	0	0	False	GO:0051179
GO:0051706	1	0	0	0	False	GO:0051704
GO:0044237	2	59396	253183	312579	False	GO:0044237
GO:0071704	2	59167	249167	308334	False	GO:0071704
GO:0050789	2	53980	35179	89159	False	GO:0050789
GO:0044238	2	52164	217509	269673	False	GO:0044238
