Term	Level	Manual_Annots	Electronic_Annots	Total_Annots	Is_obsolete	Primary_ID
GO:0003674	0	145936	369882	515818	False	GO:0003674
GO:0005554	0	0	0	0	False	GO:0003674
GO:0005488	1	66442	276191	342633	False	GO:0005488
GO:0003824	1	55742	246518	302260	False	GO:0003824
GO:0005215	1	9862	29293	39155	False	GO:0005215
GO:0140110	1	9479	6375	15854	False	GO:0140110
GO:0098772	1	7672	9060	16732	False	GO:0098772
GO:0005198	1	5494	49035	54529	False	GO:0005198
GO:0060089	1	5440	2555	7995	False	GO:0060089
GO:0140657	1	3870	15339	19209	False	GO:0140657
GO:0060090	1	1588	377	1965	False	GO:0060090
GO:0045182	1	1280	8354	9634	False	GO:0045182
GO:0016209	1	841	1631	2472	False	GO:0016209
GO:0003774	1	513	597	1110	False	GO:0003774
GO:0140104	1	489	2548	3037	False	GO:0140104
GO:0044183	1	309	54	363	False	GO:0044183
GO:0140223	1	234	26	260	False	GO:0140223
GO:0140299	1	208	775	983	False	GO:0140299
GO:0031386	1	178	91	269	False	GO:0031386
GO:0038024	1	170	120	290	False	GO:0038024
GO:0090729	1	150	7094	7244	False	GO:0090729
GO:0140313	1	58	3	61	False	GO:0140313
GO:0045735	1	30	363	393	False	GO:0045735
GO:0140489	1	0	0	0	False	GO:0140489
GO:0005478	1	0	0	0	False	GO:0005215
GO:0032947	1	0	0	0	False	GO:0060090
GO:0050827	1	0	0	0	False	GO:0090729
GO:0140522	1	0	0	0	False	GO:0140522
GO:0140691	1	0	0	0	False	GO:0140691
GO:0005515	2	34957	17517	52474	False	GO:0005515
GO:0097159	2	27838	208364	236202	False	GO:0097159
GO:1901363	2	27380	208293	235673	False	GO:1901363
GO:0016740	2	20726	86178	106904	False	GO:0016740
GO:0016787	2	16329	62446	78775	False	GO:0016787
GO:0043167	2	14057	198638	212695	False	GO:0043167
GO:0140096	2	13707	21554	35261	False	GO:0140096
GO:0016491	2	10393	41409	51802	False	GO:0016491
GO:0022857	2	9310	29144	38454	False	GO:0022857
GO:0036094	2	8279	127991	136270	False	GO:0036094
GO:0003700	2	7427	5668	13095	False	GO:0003700
GO:0140640	2	6519	51024	57543	False	GO:0140640
GO:0097367	2	5688	103413	109101	False	GO:0097367
GO:0044877	2	5662	3733	9395	False	GO:0044877
GO:0038023	2	5199	2297	7496	False	GO:0038023
GO:0030234	2	4902	3782	8684	False	GO:0030234
GO:0003735	2	3752	45136	48888	False	GO:0003735
GO:0016829	2	3444	24208	27652	False	GO:0016829
GO:0008289	2	3233	2690	5923	False	GO:0008289
GO:0016874	2	2982	34707	37689	False	GO:0016874
GO:0016853	2	2457	13928	16385	False	GO:0016853
GO:0003682	2	2387	438	2825	False	GO:0003682
GO:0003712	2	2062	611	2673	False	GO:0003712
GO:0030545	2	2056	2814	4870	False	GO:0030545
GO:0033218	2	1871	1172	3043	False	GO:0033218
GO:0042626	2	1584	8201	9785	False	GO:0042626
GO:0030674	2	1264	334	1598	False	GO:0030674
GO:0090079	2	1104	8276	9380	False	GO:0090079
GO:1901681	2	1057	2207	3264	False	GO:1901681
GO:0051540	2	964	13104	14068	False	GO:0051540
GO:0004386	2	949	4620	5569	False	GO:0004386
GO:0030246	2	810	2828	3638	False	GO:0030246
GO:0008094	2	799	3844	4643	False	GO:0008094
GO:0005319	2	686	337	1023	False	GO:0005319
GO:0016247	2	588	1586	2174	False	GO:0016247
GO:0042562	2	502	106	608	False	GO:0042562
GO:0004601	2	484	1061	1545	False	GO:0004601
GO:0072341	2	483	665	1148	False	GO:0072341
GO:0008186	2	472	1550	2022	False	GO:0008186
GO:0005200	2	439	287	726	False	GO:0005200
GO:0003823	2	404	12	416	False	GO:0003823
