Term	Level	Manual_Annots	Electronic_Annots	Total_Annots	Is_obsolete	Primary_ID
GO:0005575	0	147043	299125	446168	False	GO:0005575
GO:0008372	0	0	0	0	False	GO:0005575
GO:0110165	1	114412	280439	394851	False	GO:0110165
GO:0032991	1	35665	48404	84069	False	GO:0032991
GO:0044423	1	345	4900	5245	False	GO:0044423
GO:0043234	1	0	0	0	False	GO:0032991
GO:0019012	1	0	0	0	False	GO:0044423
GO:0043226	2	59874	59477	119351	False	GO:0043226
GO:0016020	2	33001	68595	101596	False	GO:0016020
GO:0005737	2	28060	128640	156700	False	GO:0005737
GO:0005829	2	25322	3579	28901	False	GO:0005829
GO:0031224	2	11321	67830	79151	False	GO:0031224
GO:1902494	2	9346	12090	21436	False	GO:1902494
GO:0005654	2	7821	1727	9548	False	GO:0005654
GO:0140513	2	7706	1761	9467	False	GO:0140513
GO:1990904	2	7538	14419	21957	False	GO:1990904
GO:0098796	2	7405	16351	23756	False	GO:0098796
GO:0005615	2	6958	1800	8758	False	GO:0005615
GO:0042995	2	6565	2567	9132	False	GO:0042995
GO:0030054	2	5699	1855	7554	False	GO:0030054
GO:0005576	2	4760	23191	27951	False	GO:0005576
GO:0140535	2	4611	3418	8029	False	GO:0140535
GO:0099080	2	3771	2404	6175	False	GO:0099080
GO:0030312	2	3539	1898	5437	False	GO:0030312
GO:0031974	2	2904	2218	5122	False	GO:0031974
GO:0000785	2	2629	302	2931	False	GO:0000785
GO:0098798	2	2535	710	3245	False	GO:0098798
GO:0005815	2	2438	765	3203	False	GO:0005815
GO:0048471	2	2306	1064	3370	False	GO:0048471
GO:0009986	2	2225	1430	3655	False	GO:0009986
GO:0044297	2	2116	328	2444	False	GO:0044297
GO:0005667	2	2027	341	2368	False	GO:0005667
GO:1990351	2	1977	2906	4883	False	GO:1990351
GO:0016604	2	1953	880	2833	False	GO:0016604
GO:0098552	2	1731	397	2128	False	GO:0098552
GO:0031984	2	1694	204	1898	False	GO:0031984
GO:0031975	2	1436	244	1680	False	GO:0031975
GO:0043235	2	1404	273	1677	False	GO:0043235
GO:0019898	2	1144	555	1699	False	GO:0019898
GO:0140534	2	981	421	1402	False	GO:0140534
GO:0032993	2	972	1592	2564	False	GO:0032993
GO:0018995	2	944	9208	10152	False	GO:0018995
GO:0030427	2	937	389	1326	False	GO:0030427
GO:0098793	2	779	409	1188	False	GO:0098793
GO:0005875	2	752	193	945	False	GO:0005875
GO:0098794	2	729	337	1066	False	GO:0098794
GO:0098687	2	674	639	1313	False	GO:0098687
GO:0070069	2	671	2395	3066	False	GO:0070069
GO:0005622	2	597	101	698	False	GO:0005622
GO:0012505	2	596	178	774	False	GO:0012505
GO:0009532	2	592	539	1131	False	GO:0009532
